listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,5,3,1.5,3000
Entire home/apt,5,2,2,2650
Entire home/apt,5,2,1,1560
Entire home/apt,5,2,1,1740
Entire home/apt,4.5,1,1,1000
Entire home/apt,5,1,1,1300
Private room,5,1,1,470
Private room,4.5,1,1,550
Entire home/apt,5,1,1,1200
Private room,5,1,1,600
Private room,4.5,1,1,600
Entire home/apt,4.5,1,1,1000
Entire home/apt,4,1,1,1000
Private room,5,1,1.5,790
Entire home/apt,4,3,2,1490
Entire home/apt,4.5,2,1.5,4000
Entire home/apt,4.5,2,1,890
Entire home/apt,5,1,1,1150
Private room,4.5,1,1,650
Private room,,3,2,1110
Private room,5,1,1,620
Private room,4.5,1,1,350
Entire home/apt,5,1,1,1000
Entire home/apt,5,1,1,1550
Entire home/apt,4,1,1,1000
Entire home/apt,5,2,2.5,2750
Entire home/apt,4.5,3,2,2500
Entire home/apt,4.5,1,1,690
Entire home/apt,5,2,1,1000
Entire home/apt,4.5,2,1,900
Entire home/apt,4.5,1,1,790
Entire home/apt,5,5,4.5,5000
Entire home/apt,4,1,1,1600
Private room,4.5,1,1.5,820
Private room,5,1,1,610
Entire home/apt,5,1,1,1050
Entire home/apt,5,1,1,1190
Entire home/apt,5,2,1.5,1800
Private room,4.5,1,1,700
Entire home/apt,5,1,1,960
Entire home/apt,4.5,3,1.5,1800
Entire home/apt,4.5,1,1,750
Entire home/apt,5,0,1,1490
Entire home/apt,4.5,1,1,1150
Private room,5,1,1,760
Entire home/apt,5,2,3,3500
Entire home/apt,5,3,1,1000
Entire home/apt,4.5,2,1,1490
Entire home/apt,5,1,1,1300
Private room,5,1,1,450
Entire home/apt,4,1,1,800
Entire home/apt,5,3,2,2950
Entire home/apt,5,1,1.5,1160
Entire home/apt,5,2,2,2200
Entire home/apt,5,1,1,1450
Shared room,5,1,0.5,700
Shared room,4.5,1,0.5,700
Shared room,4,1,0.5,700
Shared room,4.5,1,0.5,700
Shared room,4.5,1,0.5,700
Shared room,5,1,0.5,700
Private room,4,1,0.5,1300
Entire home/apt,4,1,1,1000
Entire home/apt,4.5,1,1,880
Private room,4,1,1,490
Entire home/apt,5,1,1,1390
Entire home/apt,5,1,1,670
Entire home/apt,5,2,1,950
Private room,5,1,1,750
Private room,5,0,1,340
Entire home/apt,4.5,4,3.5,2600
Entire home/apt,3.5,0,1,800
Entire home/apt,5,1,1,820
Entire home/apt,4.5,1,1,1250
Entire home/apt,5,2,1,1200
Entire home/apt,5,1,1,850
Entire home/apt,5,1,1,750
Entire home/apt,4.5,0,1,550
Entire home/apt,4,1,1,930
Private room,5,1,0.5,1500
Private room,5,1,2,490
Private room,5,1,2,490
Entire home/apt,4.5,0,1,1000
Entire home/apt,4.5,1,1,1290
Private room,4.5,1,1.5,400
Entire home/apt,4.5,1,1,990
Entire home/apt,5,2,1.5,1490
Private room,5,1,1,500
Entire home/apt,5,1,1,1100
Entire home/apt,5,0,1,790
Private room,4.5,1,1,750
Entire home/apt,5,2,1,1250
Private room,,1,1,600
Entire home/apt,,6,3,8000
Entire home/apt,4,0,1,750
Entire home/apt,4.5,1,1,1100
Entire home/apt,4.5,3,1,610
Entire home/apt,5,1,1,1150
Entire home/apt,5,2,1,490
Private room,5,1,1,790
Entire home/apt,4.5,3,2,1950
Entire home/apt,4.5,1,1,1650
Entire home/apt,,3,2,1850
Private room,5,1,1,520
Entire home/apt,5,1,1,1220
Private room,5,1,1.5,650
Entire home/apt,5,1,1,640
Entire home/apt,5,2,1,790
Entire home/apt,5,1,1,850
Private room,5,1,1,700
Entire home/apt,4.5,2,2,1650
Private room,4.5,1,1,450
Private room,5,1,2,450
Entire home/apt,4.5,1,1,990
Private room,5,1,2,580
Entire home/apt,4,1,1,490
Private room,5,1,1.5,590
Private room,5,1,1,520
Entire home/apt,4.5,1,1,850
Entire home/apt,5,1,1,1250
Entire home/apt,5,3,2.5,1980
Entire home/apt,5,3,1.5,2990
Entire home/apt,4.5,2,2,1540
Entire home/apt,5,1,1,1000
Entire home/apt,4.5,2,1.5,1000
Entire home/apt,4.5,1,1,900
Entire home/apt,5,2,2,900
Entire home/apt,5,0,1,1050
Private room,5,1,3,1110
Entire home/apt,5,3,2,3750
Entire home/apt,5,1,1,950
Private room,5,1,1,900
Entire home/apt,5,2,1.5,1790
Private room,,1,1,1500
Private room,4.5,1,1.5,470
Private room,5,0,1,1550
Private room,4.5,1,1,750
Private room,5,1,1,900
Entire home/apt,5,1,1,690
Private room,5,1,1,440
Private room,5,1,1.5,590
Private room,4.5,1,2,490
Private room,5,1,1,500
Entire home/apt,5,1,1,2200
Private room,5,1,1,510
Entire home/apt,5,1,1.5,1100
Entire home/apt,5,1,1,1190
Private room,5,1,3,870
Entire home/apt,4.5,2,1,850
Entire home/apt,5,2,2.5,1080
Entire home/apt,5,1,1,800
Entire home/apt,4.5,1,1,830
Entire home/apt,5,4,3,3500
Entire home/apt,5,1,1,1650
Private room,4.5,1,1,490
Private room,5,1,1,590
Private room,5,1,2,700
Entire home/apt,5,2,1,1350
Private room,5,1,1,800
Entire home/apt,4.5,3,2,790
Private room,5,1,1,250
Entire home/apt,4.5,1,1,520
Private room,4.5,1,1,600
Private room,5,1,1.5,580
