listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,5,2,2,1540
Entire home/apt,4.5,1,1,990
Entire home/apt,5,4,2.5,3230
Entire home/apt,4.5,1,1,1400
Entire home/apt,5,2,2,2580
Entire home/apt,5,3,2.5,4390
Entire home/apt,4.5,2,2,2260
Entire home/apt,5,2,2.5,2570
Entire home/apt,5,1,1,1210
Entire home/apt,5,2,1,1460
Entire home/apt,4.5,2,1,1540
Entire home/apt,5,3,2,1540
Entire home/apt,,1,1,990
Entire home/apt,4.5,2,1,1290
Entire home/apt,4.5,2,1,1270
Entire home/apt,5,2,2,2690
Entire home/apt,4.5,3,2,3540
Entire home/apt,5,2,1,1400
Entire home/apt,4.5,3,3,3540
Entire home/apt,4.5,1,1,990
Entire home/apt,5,1,1,990
Entire home/apt,5,2,2,1750
Entire home/apt,5,1,1.5,990
Entire home/apt,5,2,2,2230
Entire home/apt,5,3,2.5,1740
Entire home/apt,5,1,1,840
Entire home/apt,,1,1.5,1540
Entire home/apt,5,3,2.5,1940
Entire home/apt,5,3,2,2050
Entire home/apt,5,2,2,1840
Entire home/apt,,2,1,7000
Entire home/apt,5,0,1,990
Entire home/apt,5,2,2,1750
Entire home/apt,4.5,4,2.5,2500
Entire home/apt,5,1,1,1120
Private room,5,1,1,650
Private room,5,1,1,590
Entire home/apt,5,0,1,1080
Entire home/apt,4.5,0,1,650
Entire home/apt,5,2,2,880
Entire home/apt,4.5,3,2.5,1370
Entire home/apt,4.5,1,1,750
Entire home/apt,5,1,1,1840
Entire home/apt,5,0,1,790
Entire home/apt,5,3,2.5,4500
Entire home/apt,5,2,2,990
Private room,5,1,1,900
Private room,5,1,1,350
Private room,5,1,1,350
Entire home/apt,5,3,2.5,1490
Private room,5,1,1,900
Entire home/apt,5,3,2.5,1550
Private room,4.5,1,1,350
Entire home/apt,,1,1,2990
Entire home/apt,5,0,1,1200
Entire home/apt,,2,2,2750
Entire home/apt,,1,1,750
Entire home/apt,,1,1,750
Entire home/apt,5,1,1,1100
Entire home/apt,4.5,1,1,380
Entire home/apt,4.5,1,1,700
Entire home/apt,5,2,1,600
Private room,5,1,1,480
Entire home/apt,,6,3,1800
Entire home/apt,5,0,1,850
Entire home/apt,5,1,1,1790
Entire home/apt,5,2,1,870
Private room,5,1,2,350
Entire home/apt,4.5,2,2,2090
Entire home/apt,4.5,2,1.5,1690
Entire home/apt,5,0,1,1100
Private room,5,1,1.5,800
Entire home/apt,,0,1,770
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,680
Entire home/apt,4.5,3,2.5,2500
Private room,5,1,1,650
Private room,,1,1.5,1030
Private room,,2,2,600
Entire home/apt,5,2,1,1050
Entire home/apt,5,1,2,1670
Private room,4,1,1,320
Entire home/apt,5,5,2,700
Entire home/apt,5,1,1,1300
Entire home/apt,5,0,1,300
Private room,5,1,1,990
Entire home/apt,5,1,1,890
Entire home/apt,4.5,1,1,550
Entire home/apt,5,1,1,1110
Private room,5,1,1,450
Private room,5,1,1,710
Private room,,1,0.5,380
Private room,4.5,1,1,350
Private room,4.5,1,0.5,350
Entire home/apt,5,1,1,950
Entire home/apt,5,3,3,2300
Private room,5,1,1.5,800
Private room,,2,1,490
Private room,5,1,1,590
Entire home/apt,5,1,1,950
Entire home/apt,5,5,3.5,3550
Private room,5,1,1,500
Entire home/apt,5,1,1,810
Entire home/apt,5,2,2.5,1550
Private room,5,1,1,850
Entire home/apt,5,1,1,940
Entire home/apt,5,1,1,1190
Entire home/apt,5,1,1,1190
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1,950
Entire home/apt,5,0,1,890
Entire home/apt,5,1,1,650
Private room,4.5,1,2,790
Private room,5,1,1,300
Entire home/apt,5,0,1,790
Private room,4.5,1,1,350
Private room,4.5,1,1,550
Entire home/apt,4.5,1,1,750
Entire home/apt,,1,1,2000
Entire home/apt,4.5,3,2,860
Private room,5,1,2,480
Entire home/apt,5,2,2.5,1900
Private room,5,2,1,1630
Private room,4.5,1,1,500
Entire home/apt,5,3,2.5,1890
Private room,5,1,1,550
Entire home/apt,5,0,1,790
Private room,5,1,1.5,450
Entire home/apt,,1,1,700
Private room,5,1,2,500
Entire home/apt,5,2,1,1150
Entire home/apt,5,3,2,3000
Entire home/apt,5,1,1,1950
Entire home/apt,5,2,1,1290
Private room,5,1,1.5,550
Private room,5,1,1,490
Entire home/apt,5,1,1,900
Private room,5,1,1.5,450
Private room,5,1,1,450
Entire home/apt,5,1,1,550
Entire home/apt,5,3,1,1890
Entire home/apt,5,1,1,620
Private room,5,1,1,890
Entire home/apt,5,2,2.5,2990
Entire home/apt,5,2,1,890
Entire home/apt,5,1,1,1100
Entire home/apt,5,0,1,970
Entire home/apt,5,2,1,800
Entire home/apt,5,2,1,900
Private room,5,1,1,950
Entire home/apt,5,0,1,1200
Entire home/apt,5,2,2,1430
Entire home/apt,5,2,1,890
Entire home/apt,4.5,1,1,810
Entire home/apt,5,2,1,1350
Entire home/apt,,6,6,30000
Entire home/apt,5,0,1,1200
Entire home/apt,5,1,1,1060
Entire home/apt,5,1,1,650
Entire home/apt,5,0,1,990
Entire home/apt,4.5,2,1,1480
Entire home/apt,5,1,1,1000
Private room,5,1,1,350
Entire home/apt,5,1,1.5,630
Entire home/apt,5,3,2.5,690
Entire home/apt,5,1,1,1000
Entire home/apt,5,0,1,690
Private room,5,1,1.5,390
Entire home/apt,5,0,1,1030
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1,650
Private room,5,1,1.5,400
Entire home/apt,5,0,1,750
Private room,5,2,1,890
Entire home/apt,5,1,1,820
Entire home/apt,5,2,1,1500
Private room,4,1,1,950
Entire home/apt,4.5,0,1,500
Entire home/apt,5,1,1,950
Entire home/apt,4.5,1,1,900
Entire home/apt,5,1,1,800
Private room,5,1,1,550
Entire home/apt,5,1,1,1010
Private room,5,1,1,620
Private room,5,1,1.5,300
Entire home/apt,5,2,1,1110
Entire home/apt,5,1,1,850
Private room,5,1,1,550
Entire home/apt,4.5,1,1,390
Entire home/apt,5,1,1,580
Entire home/apt,4.5,3,2,950
Entire home/apt,5,1,1,750
Entire home/apt,5,2,1,990
Entire home/apt,4.5,0,1,550
Entire home/apt,5,1,1,850
Entire home/apt,4,1,1,1050
Private room,5,1,1,380
Entire home/apt,5,1,1,990
Private room,5,1,1,340
Entire home/apt,5,1,1,950
Entire home/apt,5,3,2.5,2750
Private room,5,1,1,500
Private room,4.5,1,1,800
Private room,5,1,1,420
Private room,5,1,1,440
Entire home/apt,5,0,1,1000
Entire home/apt,4.5,1,1,1050
Entire home/apt,5,7,4,4750
Entire home/apt,5,2,1,720
Entire home/apt,5,0,1,850
Entire home/apt,4.5,3,3,1520
Entire home/apt,3.5,3,2,2160
Entire home/apt,5,3,2.5,1310
Entire home/apt,5,1,1,1190
Entire home/apt,4.5,2,2,1590
Entire home/apt,3.5,3,2,1840
Entire home/apt,,3,2.5,2830
Entire home/apt,,2,1,1170
Entire home/apt,5,3,2,2280
Private room,5,1,1.5,390
Private room,,1,1,1670
Entire home/apt,4.5,0,1,780
Private room,5,1,1,990
Entire home/apt,5,0,1,550
Entire home/apt,4.5,4,2,3390
Entire home/apt,4.5,2,1.5,1280
Entire home/apt,5,2,1,1580
Entire home/apt,4.5,3,1,990
Private room,5,1,1,300
Entire home/apt,5,3,2,3250
Private room,5,1,1,1050
Entire home/apt,4.5,0,1,600
Entire home/apt,5,4,2.5,3000
Entire home/apt,4.5,1,1,500
Entire home/apt,5,2,2,1230
Entire home/apt,4.5,2,1,840
Entire home/apt,4.5,2,1,800
Private room,5,1,1,550
Entire home/apt,5,2,2,2000
Entire home/apt,5,1,1,470
Private room,5,1,1.5,350
Entire home/apt,5,1,1,1100
Entire home/apt,4.5,0,1,800
Private room,4.5,1,1.5,300
Private room,4.5,1,1.5,300
Private room,4,1,1,250
Private room,4.5,1,1.5,250
Entire home/apt,5,0,1,3000
Private room,5,1,1.5,390
Private room,5,1,1,350
Entire home/apt,5,2,1,550
Private room,,1,0.5,320
Entire home/apt,4.5,1,1,740
Entire home/apt,5,2,1,1160
Entire home/apt,5,2,1,1020
Entire home/apt,5,2,2.5,3000
Private room,4.5,1,1.5,650
Entire home/apt,5,3,2.5,3750
Entire home/apt,5,1,1,850
Entire home/apt,4.5,1,1,1250
Entire home/apt,,5,2,6000
Entire home/apt,,2,1,2250
Private room,,2,1,1490
Entire home/apt,4.5,2,1,840
Entire home/apt,5,4,1,4130
Private room,,1,1,440
Private room,5,1,1,720
Entire home/apt,5,1,1,980
Entire home/apt,5,1,1,690
Entire home/apt,5,3,2.5,3500
Private room,5,1,1,750
Entire home/apt,4.5,0,1,550
Private room,5,1,2.5,550
Entire home/apt,5,2,1,1250
Private room,,1,1,1000
Entire home/apt,4.5,4,2,1410
Entire home/apt,4.5,2,2,3990
Private room,5,1,1,400
Entire home/apt,5,3,3.5,1250
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,470
Entire home/apt,5,2,1,1250
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,780
Entire home/apt,,1,1,1370
Entire home/apt,4.5,4,2,1580
Private room,5,1,1,320
Entire home/apt,5,1,1,800
Private room,,0,1,600
Entire home/apt,5,0,1,560
Entire home/apt,5,1,1,570
Entire home/apt,5,1,1,510
Entire home/apt,5,1,1,490
Entire home/apt,5,2,1,600
Private room,5,1,1,310
Entire home/apt,3.5,2,1,1080
Entire home/apt,5,1,1,740
Entire home/apt,5,3,3,2200
Shared room,5,1,1,300
Entire home/apt,5,1,1.5,1390
Entire home/apt,5,2,1,1050
Entire home/apt,5,1,1,810
Entire home/apt,5,0,1,850
Entire home/apt,5,1,1,750
Entire home/apt,,0,1,750
Entire home/apt,5,0,1,750
Entire home/apt,,1,1,750
Entire home/apt,,1,1,1750
Private room,4.5,1,1,550
Private room,5,1,1,850
Private room,4.5,2,1,600
Entire home/apt,5,3,2.5,3500
Entire home/apt,5,1,1,1050
Entire home/apt,5,1,1.5,980
Private room,4.5,1,1,450
Entire home/apt,,2,1,1200
Entire home/apt,4.5,2,1,800
Private room,5,1,1,570
Entire home/apt,5,1,1,1150
Entire home/apt,5,3,2,1990
Entire home/apt,4.5,5,3,1250
Private room,5,1,1,650
Private room,5,1,1,890
Entire home/apt,5,1,1,1090
Entire home/apt,5,1,1,1090
Entire home/apt,5,0,1,650
Entire home/apt,5,3,2.5,1670
Entire home/apt,5,2,1,890
Private room,5,1,1,650
Private room,4.5,1,1,500
Entire home/apt,5,0,1,620
Entire home/apt,5,1,1,950
Private room,5,1,1,500
Private room,4.5,1,1,200
Entire home/apt,5,2,2,2990
Private room,5,1,1.5,800
Private room,4.5,1,1,400
Entire home/apt,5,2,2,1010
Entire home/apt,,2,2.5,2000
Entire home/apt,5,0,1,800
Entire home/apt,5,1,1,750
Private room,4.5,1,1,280
Entire home/apt,5,2,1,2500
Entire home/apt,5,0,1,990
Entire home/apt,4.5,2,1,740
Entire home/apt,5,1,1,850
Entire home/apt,5,1,1,1100
Entire home/apt,5,1,1,750
Entire home/apt,,2,2.5,5000
Entire home/apt,4,2,1,1500
Entire home/apt,5,1,1,700
Entire home/apt,5,0,1,680
Entire home/apt,5,1,1,700
Entire home/apt,5,1,1,1200
Entire home/apt,5,3,3.5,810
Private room,5,1,1,620
Private room,,1,1,1250
Entire home/apt,,2,2.5,1950
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,580
Entire home/apt,5,0,1,610
Entire home/apt,5,0,1,590
Entire home/apt,,2,2,1800
Entire home/apt,5,0,1,600
Entire home/apt,5,2,1,840
Entire home/apt,5,1,1,700
Entire home/apt,4.5,0,1,700
Entire home/apt,4.5,0,1,860
Private room,5,1,1,450
Private room,4.5,1,1.5,250
Entire home/apt,5,2,2,1620
Entire home/apt,5,1,1,1390
Private room,5,1,1,500
Private room,5,1,1,400
Entire home/apt,4.5,2,1,1500
Entire home/apt,5,4,2.5,1340
Private room,4.5,1,0.5,400
Entire home/apt,5,1,1,690
Private room,4.5,2,1.5,1200
Entire home/apt,5,1,1,990
Entire home/apt,5,1,1,450
Entire home/apt,4.5,2,1,1500
Entire home/apt,5,1,1,670
Private room,5,1,1,500
Entire home/apt,,2,2,1260
Entire home/apt,4.5,1,1,940
Entire home/apt,4.5,2,2,2750
Entire home/apt,5,3,2,3950
Private room,4.5,1,1,320
Entire home/apt,5,2,1,1000
Entire home/apt,5,0,1,650
Entire home/apt,5,3,2,700
Entire home/apt,5,0,1,650
Entire home/apt,5,1,1,1200
Entire home/apt,5,2,1,790
Entire home/apt,5,2,1,590
Private room,5,1,1,550
Entire home/apt,5,0,1,1000
Shared room,4,1,1,200
Private room,5,2,1,500
Private room,5,1,1,400
Shared room,4,1,1,200
Shared room,4.5,1,1,200
Private room,5,1,1,480
Entire home/apt,4,1,1,900
Entire home/apt,,1,1,400
Entire home/apt,4.5,1,1,500
Entire home/apt,,1,1,400
Entire home/apt,4.5,1,1,500
Entire home/apt,5,1,1,800
Entire home/apt,5,0,1,800
Entire home/apt,,1,1,800
Private room,5,2,1,980
Entire home/apt,,1,1,400
Entire home/apt,,1,1,400
Entire home/apt,4.5,1,1,600
Entire home/apt,,1,1,500
Entire home/apt,5,1,1,500
Entire home/apt,4.5,3,3.5,1650
Entire home/apt,5,3,2,4250
Entire home/apt,5,8,6,16500
Private room,5,1,1,480
Entire home/apt,4,1,1,400
Entire home/apt,,1,1,500
Entire home/apt,5,1,1,500
Entire home/apt,5,1,1,500
Entire home/apt,,1,1,500
Entire home/apt,5,1,1,400
Entire home/apt,5,1,1,400
Entire home/apt,,1,1,500
Entire home/apt,,1,1,500
Entire home/apt,,2,2.5,1100
Entire home/apt,,1,1,400
Entire home/apt,5,1,1,500
Entire home/apt,5,5,2.5,5950
Entire home/apt,5,4,2,1650
Entire home/apt,5,1,1,1050
Entire home/apt,5,2,1,890
Entire home/apt,5,1,1,850
Private room,5,1,1,530
Entire home/apt,5,1,1,450
Private room,5,1,1,600
Entire home/apt,,4,3,4000
Private room,4.5,1,1,500
Private room,,1,1,640
Entire home/apt,5,1,1,650
Entire home/apt,5,1,1,750
Private room,5,1,1,480
Entire home/apt,5,0,1,590
Entire home/apt,5,3,2,830
Private room,5,1,1,550
Private room,5,2,1,890
Entire home/apt,5,1,1,1360
Entire home/apt,4.5,0,1,560
Entire home/apt,4.5,3,3,1840
Private room,5,1,1,450
Entire home/apt,5,4,1.5,2500
Entire home/apt,,2,1.5,1400
Private room,,1,1,450
Entire home/apt,4,2,1,1180
Private room,5,1,1,650
Private room,5,1,1,550
Entire home/apt,5,0,1,600
Entire home/apt,5,2,1.5,950
Entire home/apt,4.5,2,2,1250
Entire home/apt,5,2,1.5,1400
Entire home/apt,,1,1,1100
Private room,5,1,1,850
Entire home/apt,,1,1,830
Private room,5,1,1,270
Entire home/apt,5,1,1,450
Entire home/apt,4.5,0,1,750
Entire home/apt,4,1,1,1250
Private room,5,1,1,400
Entire home/apt,5,5,3,4250
Entire home/apt,5,2,2,1160
Entire home/apt,5,2,1,950
Entire home/apt,5,1,1,1440
Entire home/apt,5,1,1,1090
Private room,4.5,1,1,1750
Entire home/apt,5,1,1,500
Entire home/apt,4.5,1,1,700
Entire home/apt,5,2,2,1450
Entire home/apt,5,1,1,750
Entire home/apt,5,2,1,2000
Entire home/apt,,1,1,1500
Entire home/apt,5,2,1,1500
Entire home/apt,5,0,1,750
Private room,,1,1,1500
Entire home/apt,5,1,1,620
Entire home/apt,5,6,3.5,2200
Entire home/apt,,3,1.5,1500
Entire home/apt,5,2,1,1150
Entire home/apt,5,1,1,890
Entire home/apt,5,2,1,1000
Entire home/apt,5,4,3.5,6000
Entire home/apt,,2,2,1130
Entire home/apt,,3,1,820
Entire home/apt,5,1,1,700
Entire home/apt,5,3,2,2250
Private room,5,1,1,450
Entire home/apt,5,3,1.5,1100
Private room,5,1,1,600
Entire home/apt,5,1,1,560
Entire home/apt,5,1,1,750
Entire home/apt,4.5,1,1,650
Entire home/apt,5,2,2,1110
Private room,5,1,1,550
Entire home/apt,5,1,1,750
Entire home/apt,4.5,2,1,1250
Private room,5,1,1.5,390
Entire home/apt,5,2,1.5,780
Entire home/apt,5,2,1,1500
Entire home/apt,,2,1.5,1500
Private room,,1,1,400
Private room,5,1,1.5,400
Entire home/apt,,1,1,1010
Entire home/apt,5,1,1,1350
Entire home/apt,5,1,1,590
Entire home/apt,,2,1,1050
Entire home/apt,5,2,1.5,1000
Private room,5,1,1,400
Entire home/apt,4.5,1,0.5,600
Entire home/apt,4.5,0,1,650
Entire home/apt,5,2,1.5,890
Private room,5,1,1,650
Entire home/apt,5,4,3,4990
Entire home/apt,5,0,1,950
Entire home/apt,4.5,2,2,1600
Entire home/apt,5,1,1,990
Entire home/apt,5,0,1,890
Entire home/apt,4.5,2,1,890
Entire home/apt,5,3,2.5,2860
Entire home/apt,4.5,3,2,1300
Entire home/apt,4.5,0,1,720
Entire home/apt,4.5,0,1,590
Private room,,1,1.5,1150
Entire home/apt,5,1,1,890
Private room,5,1,1,490
Entire home/apt,5,5,2.5,2600
Entire home/apt,,3,1,800
Entire home/apt,5,1,1,1250
Entire home/apt,5,2,1,890
Entire home/apt,4.5,2,1,950
Entire home/apt,5,1,1,1200
Entire home/apt,4.5,1,1,380
Entire home/apt,5,2,1,1550
Entire home/apt,5,3,2,1750
Entire home/apt,5,3,1,1200
Entire home/apt,5,0,1,800
Entire home/apt,5,1,1,1200
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,790
Entire home/apt,5,1,1,630
Private room,4.5,1,1,360
Entire home/apt,5,2,1,1310
Entire home/apt,4.5,1,1,750
Entire home/apt,5,1,1,890
Entire home/apt,5,3,2.5,1380
Entire home/apt,5,2,2.5,1350
Entire home/apt,5,1,1,450
Private room,5,1,1,350
Entire home/apt,5,2,1,3000
Entire home/apt,5,1,1.5,880
Entire home/apt,5,1,1,800
Entire home/apt,5,0,1,990
Entire home/apt,5,3,2,2500
Entire home/apt,,2,1,5850
Entire home/apt,4.5,0,1,900
Entire home/apt,4.5,0,1,600
Entire home/apt,5,0,1,700
Entire home/apt,5,2,2,1000
Entire home/apt,,1,1,800
Entire home/apt,4.5,0,1,700
Private room,5,2,1,790
Entire home/apt,5,2,1.5,1320
Private room,4.5,1,2,300
Entire home/apt,4,4,2.5,2500
Entire home/apt,5,0,1,390
Shared room,,1,1.5,700
Entire home/apt,4.5,2,1,1300
Shared room,,1,1,700
Entire home/apt,4.5,2,1,1000
Entire home/apt,4.5,3,1,1150
Entire home/apt,5,2,1,990
Entire home/apt,5,3,2,1350
Entire home/apt,5,1,1,900
Private room,5,1,1,600
Entire home/apt,4.5,1,1,1600
Private room,5,1,1,350
Entire home/apt,5,0,1,750
Private room,5,1,1,430
Entire home/apt,5,2,2.5,1500
Entire home/apt,5,1,1,750
Private room,5,1,2,400
Entire home/apt,,1,1,600
Entire home/apt,5,2,2,1790
Entire home/apt,3.5,1,1,1000
Entire home/apt,5,1,1,1000
Entire home/apt,4.5,1,1,1000
Entire home/apt,4.5,1,1,1400
Entire home/apt,4.5,1,1,1090
Entire home/apt,4.5,2,1.5,1790
Entire home/apt,4.5,1,1,740
Entire home/apt,5,1,1.5,740
Entire home/apt,5,1,1,650
Entire home/apt,4.5,1,1,650
Entire home/apt,5,2,1.5,1500
Private room,5,1,1.5,380
Entire home/apt,5,2,1,1280
Shared room,5,1,1,300
Entire home/apt,5,2,2,2590
Entire home/apt,5,2,1,1560
Private room,4.5,1,1,490
Entire home/apt,5,0,1,750
Entire home/apt,5,3,2,2420
Entire home/apt,5,0,1,680
Private room,5,1,1,490
Private room,5,1,1,550
Entire home/apt,5,2,2,2420
Entire home/apt,5,3,2.5,2250
Entire home/apt,5,2,1,990
Private room,5,1,1,400
Private room,4,1,1.5,250
Entire home/apt,,3,2.5,850
Private room,5,1,1,550
Entire home/apt,5,2,2,2790
Entire home/apt,,1,1,800
Entire home/apt,4.5,2,1,1000
Private room,5,1,1.5,680
Private room,5,1,2,550
Private room,5,1,2,300
Private room,,1,1,560
Entire home/apt,4.5,3,1,2000
Entire home/apt,5,4,2.5,690
Entire home/apt,4.5,1,1,600
Entire home/apt,,1,1,1150
Private room,5,1,1.5,640
Entire home/apt,,1,1,1360
Entire home/apt,5,1,1,1220
Entire home/apt,4.5,1,1,900
Entire home/apt,,3,2,1200
Entire home/apt,4,1,1,1060
Entire home/apt,,0,1,1100
Entire home/apt,5,0,1,600
Entire home/apt,,1,1,1010
Entire home/apt,,0,1,1100
Entire home/apt,,0,1,1000
Entire home/apt,,0,1,1100
Entire home/apt,,1,1,1010
Entire home/apt,,0,1,1100
Entire home/apt,,1,1,1040
Entire home/apt,,1,1,1040
Entire home/apt,4,2,2,1500
Entire home/apt,4.5,2,2,1200
Entire home/apt,4,2,2,1100
Entire home/apt,4.5,1,1,500
Entire home/apt,4.5,0,1,680
Private room,5,1,1,350
Entire home/apt,5,2,1,850
Entire home/apt,5,1,1,990
Entire home/apt,5,1,1,790
Entire home/apt,5,0,1,970
Entire home/apt,5,0,1,1350
Entire home/apt,4.5,0,1,600
Private room,5,1,1,500
Private room,5,1,3,300
Entire home/apt,4.5,1,1,760
Entire home/apt,4.5,0,1,650
Private room,5,1,1,290
Entire home/apt,5,1,1,770
Entire home/apt,5,1,1,850
Entire home/apt,5,0,1,750
Entire home/apt,4,0,1,750
Private room,5,2,1.5,1000
Entire home/apt,4.5,2,1,990
Entire home/apt,,1,1,850
Private room,5,1,2,300
Entire home/apt,,1,1,840
Entire home/apt,,1,1,840
Entire home/apt,2.5,1,1,840
Entire home/apt,5,1,1,940
Entire home/apt,5,1,1,790
Entire home/apt,5,1,1,750
Private room,4.5,1,1,790
Entire home/apt,5,2,2,2250
Entire home/apt,4.5,3,1.5,1290
Entire home/apt,5,2,1,1220
Entire home/apt,5,1,1,400
Entire home/apt,5,3,2,1200
Private room,4.5,1,1,250
Entire home/apt,4.5,0,1,500
Entire home/apt,5,1,1,950
Entire home/apt,4.5,0,1,540
Entire home/apt,5,1,1,1850
Entire home/apt,4.5,5,2,2580
Private room,5,1,1,490
Entire home/apt,4.5,0,1,600
Entire home/apt,5,0,1,550
Entire home/apt,4.5,1,1,1000
Entire home/apt,4.5,1,1,840
Entire home/apt,5,2,1,790
Private room,5,1,1,750
Entire home/apt,5,0,1,510
Entire home/apt,5,1,1,900
Entire home/apt,,2,2,1230
Entire home/apt,,1,1,400
Entire home/apt,4.5,0,1,650
Entire home/apt,,1,1,800
Entire home/apt,,1,1,400
Entire home/apt,,1,1,800
Entire home/apt,,1,1,1300
Entire home/apt,,1,1,800
Private room,5,1,1.5,390
Entire home/apt,5,2,1.5,2150
Entire home/apt,5,2,2,990
Entire home/apt,5,1,1,1100
Entire home/apt,5,2,1,490
Private room,,1,1,350
Entire home/apt,5,2,1,500
Entire home/apt,,1,1,400
Entire home/apt,,1,1,400
Entire home/apt,4.5,1,1,400
Private room,,1,1,450
Entire home/apt,4,1,1,500
Entire home/apt,5,1,1,1990
Entire home/apt,4.5,1,1,500
Entire home/apt,4.5,1,1,400
Entire home/apt,,1,1,800
Entire home/apt,5,1,1,1250
Entire home/apt,5,1,1,690
Entire home/apt,4.5,4,2.5,1600
Entire home/apt,5,4,3.5,3000
Entire home/apt,,1,1,400
Entire home/apt,5,1,1,800
Entire home/apt,5,4,2.5,2500
Entire home/apt,5,1,1,800
Entire home/apt,,1,1,500
Private room,5,1,1,340
Entire home/apt,5,0,1,600
Entire home/apt,4.5,1,1,610
Entire home/apt,5,1,1,1100
Entire home/apt,5,2,1,1200
Entire home/apt,5,2,1,850
Entire home/apt,5,1,1,1400
Private room,5,1,1,550
Entire home/apt,,2,2,3050
Entire home/apt,5,3,2,2000
Private room,5,1,1,300
Entire home/apt,5,0,1,510
Entire home/apt,4.5,0,1,700
Private room,4,1,1,280
Entire home/apt,5,5,3.5,2500
Entire home/apt,5,0,1,1350
Entire home/apt,4.5,1,1,800
Entire home/apt,5,3,2,1180
Entire home/apt,5,1,1,1050
Entire home/apt,5,4,3,2500
Shared room,3.5,1,1,200
Private room,4.5,3,2,1500
Shared room,4.5,1,1,200
Entire home/apt,5,4,2,3300
Private room,4.5,1,1,700
Entire home/apt,5,0,1,1000
Entire home/apt,5,2,1,810
Entire home/apt,5,0,1,700
Entire home/apt,5,1,1,680
Entire home/apt,4.5,0,1,500
Entire home/apt,4.5,0,1,600
Entire home/apt,4.5,0,1,700
Entire home/apt,5,1,1.5,990
Entire home/apt,5,2,1,750
Entire home/apt,5,1,1.5,750
Entire home/apt,4.5,1,1,690
Private room,4.5,1,1,650
Private room,4.5,1,1,550
Entire home/apt,5,2,1,800
Entire home/apt,5,3,2.5,4570
Entire home/apt,,1,1,990
Entire home/apt,5,2,1,3260
Entire home/apt,5,4,3,3490
Entire home/apt,5,2,2,2410
Entire home/apt,5,1,1,750
Entire home/apt,4.5,0,1,500
Entire home/apt,4.5,0,1,500
Entire home/apt,,4,4,3250
Private room,,1,1,590
Private room,,1,1,550
Private room,,1,1,590
Private room,,1,1,590
Entire home/apt,4.5,2,1.5,1130
Private room,5,1,1,370
Private room,5,1,1,370
Entire home/apt,4.5,1,1,1000
Private room,,1,1,750
Private room,5,1,1,600
Entire home/apt,5,2,1,930
Entire home/apt,5,1,1,650
Entire home/apt,5,1,1,950
Entire home/apt,5,2,2,1390
Entire home/apt,5,1,1,750
Entire home/apt,5,2,2.5,2290
Entire home/apt,5,0,1,850
Private room,5,1,1,600
Entire home/apt,4.5,1,1,840
Private room,5,1,1,410
Private room,5,1,1,420
Private room,5,1,1.5,510
Entire home/apt,,0,1,1540
Entire home/apt,,0,1,1540
Entire home/apt,5,3,2.5,1650
Private room,5,1,1,610
Entire home/apt,5,1,1,490
Entire home/apt,5,1,1,1150
Private room,5,1,1,300
Entire home/apt,5,0,1,800
Entire home/apt,5,4,3.5,2760
Entire home/apt,,3,4,2500
Entire home/apt,4.5,2,1,890
Entire home/apt,5,0,1,1000
Entire home/apt,4.5,1,1,600
Entire home/apt,4.5,1,1,500
Entire home/apt,,2,1,1660
Entire home/apt,5,2,2,900
Entire home/apt,5,3,2,1750
Entire home/apt,5,1,1,1200
Entire home/apt,4.5,1,1,800
Private room,,1,1,500
Entire home/apt,5,1,1,810
Entire home/apt,5,3,2.5,1800
Entire home/apt,5,0,1,900
Private room,,1,1,750
Entire home/apt,4.5,2,1,1180
Entire home/apt,4.5,2,1,560
Private room,5,1,1,440
Private room,,2,1,1290
Entire home/apt,,1,1,1990
Entire home/apt,5,1,1,590
Entire home/apt,4.5,2,2,1490
Entire home/apt,4.5,1,1,810
Entire home/apt,3.5,1,1,810
Entire home/apt,,1,1,810
Entire home/apt,4.5,1,1,810
Entire home/apt,4.5,2,1,800
Entire home/apt,5,0,1,800
Entire home/apt,4.5,3,2.5,1980
Private room,5,1,1,490
Entire home/apt,,1,1,900
Entire home/apt,5,6,3,4600
Entire home/apt,5,1,1,650
Entire home/apt,5,2,2,990
Entire home/apt,5,1,1,750
Entire home/apt,5,2,1,990
Entire home/apt,5,1,1,1000
Entire home/apt,,2,2,1500
Entire home/apt,,2,2,1500
Entire home/apt,4.5,2,2,1500
Entire home/apt,4,2,2,1500
Entire home/apt,3.5,2,2,1500
Entire home/apt,5,1,1,850
Entire home/apt,5,1,1,530
Entire home/apt,4.5,1,1,800
Entire home/apt,,2,1,1000
Entire home/apt,,1,1,700
Entire home/apt,,1,1,700
Entire home/apt,,1,1,700
Entire home/apt,,1,1,700
Entire home/apt,5,2,2.5,1390
Entire home/apt,,1,1,700
Entire home/apt,,2,2,1000
